instance;sec n;sec m;ls rounds;ls maxIts;seq vsp cols;seq csp cols;seq vsp selected cols;seq csp selected cols;seq csp selected single;seq vsp value;seq csp value;seq vsp pullout;seq vsp tripdriving;seq vsp tripkwh;seq vsp dhdriving;seq vsp dhkwh;seq vsp idlekwh;seq vsp batterydeg;seq csp blockhours;seq csp blockdrivinghours;seq csp breakhours;seq vsp mip runtime;seq vsp mip gap;seq vsp runtime;seq csp mip runtime;seq csp mip gap;seq csp runtime
../../data/leiden;4;8;5;500000;31984;2879;18;37;0;6349.009205;21932.75;3600;201.60355;1845.07569;9.2066;84.2588032;27.09333333;581.7712287;231.6333333;223.15;31.33333333;300.1159999;0.0270138;321.2317635;80.64700007;4.51E-11;383.856623
../../data/leiden;4;8;50;500000;43466;2498;17;38;0;6124.178086;21753.83333;3400;200.0077;1830.47047;9.4413;86.4067776;14.82666667;583.025171;230.95;221.9;28.38333333;76.09899998;0;136.0518849;300.0089998;0.00365149;487.3962594
../../data/leiden;8;4;0;500000;71599;3719;18;37;0;6358.188261;21851.58333;3600;200.26835;1832.855939;10.97075;100.404304;19.41333333;594.275585;233.2166667;223.1833333;30.68333333;300.243;0.026068843;342.452773;300.036;0.001802566;499.740663
../../data/leiden;8;4;5;500000;62565;3781;18;37;0;6341.419315;22264.75;3600;200.53965;1835.338877;10.9002;99.7586304;15.89333333;578.9886245;236.25;226.1833333;32.2;300.138;0.025745389;333.2697308;300.007;0.002150849;693.4336939
../../data/leiden;8;4;50;500000;52842;3468;18;37;0;6336.982627;21758.83333;3600;199.74705;1828.085002;9.50035;86.9472032;23.52;589.1830224;230.4833333;221.5833333;29.55;300.23;0.024558747;365.1553607;300.0149999;0.004387876;502.1968995
../../data/leiden;8;8;0;500000;68909;4165;18;36;0;6354.410868;21837;3600;202.1355;1849.944096;8.71705;79.7784416;33.65333333;580.1824472;232.1166667;223.8;30.25;300.2620001;0.027094004;343.3418563;300.046;0.003345667;696.1652264
../../data/leiden;8;8;5;500000;64608;3858;18;36;0;6336.048219;21548.91667;3600;199.74705;1828.085002;9.808;89.762816;19.57333333;589.0720184;230.05;220.95;30.41666667;300.2;0.023363726;332.1662907;300.0109999;0.001837435;627.1931395
../../data/leiden;8;8;50;500000;56947;3887;18;36;0;6322.701419;21831.16667;3600;200.0077;1830.47047;9.33605;85.4435296;17.76;579.6836695;232.4333333;223.5333333;31.85;300.441;0.024447699;365.2501884;300.0109999;0.001736842;708.2575085
../../data/leiden;16;4;0;500000;108225;5884;18;37;0;6352.604307;22196.58333;3600;201.85355;1847.36369;9.37255;85.7775776;27.30666667;580.9302734;232.35;223.55;35.03333333;300.2219999;0.025808772;351.8233202;300.023;0.001659632;856.241596
../../data/leiden;16;4;5;500000;82698;5777;18;36;0;6341.660241;21688.16667;3600;200.0077;1830.47047;10.88535;99.6227232;18.02666667;582.6473311;231.5833333;221.2333333;31.28333333;300.191;0.025141055;333.4134288;300.0149999;0.001256498;673.93728
../../data/leiden;16;4;50;500000;76582;5280;17;37;0;6158.61431;22226.83333;3400;200.5907;1835.806086;10.0034;91.5511168;16.37333333;604.2896739;234.2166667;224.2333333;32.6;88.47399998;0;162.100625;300.0120001;0.003948392;627.609966
../../data/leiden;16;8;0;500000;135366;6541;18;38;0;6338.355213;22030.66667;3600;200.8003;1837.724346;9.976;91.300352;20.90666667;577.6475484;231.4333333;222.2166667;32.9;300.2280002;0.024005368;365.6353516;300.016;0.001482647;906.7765001
../../data/leiden;16;8;5;500000;84731;6692;18;36;0;6337.284394;21776.41667;3600;201.06095;1840.109814;9.6969;88.7460288;22.66666667;575.0040338;231.5333333;222.5333333;31.01666667;300.325;0.026232782;334.7877235;300.0280001;0.001207951;1365.650501
../../data/leiden;16;8;50;500000;67621;5658;18;36;0;6314.577926;21531.08333;3600;200.0077;1830.47047;9.14125;83.66072;16.37333333;574.9244523;229.2666667;220.5666667;31.78333333;300.267;0.023690835;371.1202927;300.013;0.001492839;817.7659897
