#rounds / 20;its;csp value;cost breakdown;unique cols;selected cols;dummy cols;hourly cost dummy cols;mipgap;mip time;total time
25;5000000;320803.8333;(0, 0, 0, 0, 0, 0, 248.36666666666667, 170.83333333333334, 148.93333333333334, 69.55);206;44;3;292.5;0;75.17000008;932.9244694
25;5000000;320630.5;(0, 0, 0, 0, 0, 0, 245.7, 169.01666666666668, 147.55, 69.38333333333334);205;44;3;292.5;0;75.23800015;942.8893176
25;5000000;320836.3333;(0, 0, 0, 0, 0, 0, 248.86666666666667, 170.81666666666666, 148.91666666666666, 71.06666666666666);207;44;3;292.5;0;75.06299996;879.7219116
50;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.95);264;44;3;292.5;1.98E-05;75.77499986;80.0439613
50;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.38333333333334);263;44;3;292.5;0;75.82000017;80.0448483
50;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.53333333333333);258;44;3;292.5;0;75.67900014;79.9166949
50;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.53333333333333);260;44;3;292.5;0;75.66700006;80.0847412
50;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.11666666666666);267;44;3;292.5;0;75.83099985;80.0882657
50;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.95);233;44;3;292.5;0;75.54299998;92.8453132
50;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.95);228;44;3;292.5;0;75.30100012;92.6484875
50;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.53333333333333);231;44;3;292.5;0;75.3269999;92.5775231
50;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.25);230;44;3;292.5;0;75.34000015;92.7349715
